field_code,sheet,cell,,Report Date,Column,Row,,,,,,,,,,,,,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020,12/31/2020,3/31/2021,6/30/2021,9/30/2021,12/31/2021,3/31/2022,6/30/2022,9/30/2022,12/31/2022,3/31/2023,6/30/2023,9/30/2023,12/31/2023,3/31/2024,6/30/2024,9/30/2024,12/31/2024,3/31/2025,6/30/2025,9/30/2025,12/31/2025,3/31/2026,6/30/2026,9/30/2026,12/31/2026,3/31/2027,6/30/2027,9/30/2027,12/31/2027,3/31/2028,6/30/2028,9/30/2028,12/31/2028,3/31/2029,6/30/2029,9/30/2029,12/31/2029,3/31/2030,6/30/2030,9/30/2030,12/31/2030,3/31/2031,6/30/2031,9/30/2031,12/31/2031,3/31/2032,6/30/2032,9/30/2032,12/31/2032,3/31/2033,6/30/2033,9/30/2033,12/31/2033,3/31/2034,6/30/2034,9/30/2034,12/31/2034,3/31/2035,6/30/2035,9/30/2035,12/31/2035,3/31/2036,6/30/2036,9/30/2036,12/31/2036,3/31/2037,6/30/2037,9/30/2037,12/31/2037,3/31/2038,6/30/2038,9/30/2038,12/31/2038,3/31/2039,6/30/2039,9/30/2039,12/31/2039,3/31/2040,6/30/2040,9/30/2040,12/31/2040,3/31/2041,6/30/2041,9/30/2041,12/31/2041,3/31/2042,6/30/2042,9/30/2042,12/31/2042,3/31/2043,6/30/2043,9/30/2043,12/31/2043,3/31/2044,6/30/2044,9/30/2044,12/31/2044,3/31/2045,6/30/2045,9/30/2045,12/31/2045,3/31/2046,6/30/2046,9/30/2046,12/31/2046,3/31/2047,6/30/2047,9/30/2047,12/31/2047,3/31/2048,6/30/2048,9/30/2048,12/31/2048,3/31/2049,6/30/2049,9/30/2049,12/31/2049,3/31/2050,6/30/2050,9/30/2050,12/31/2050,3/31/2051,6/30/2051,9/30/2051,12/31/2051,3/31/2052,6/30/2052,9/30/2052,12/31/2052,3/31/2053,6/30/2053,9/30/2053,12/31/2053,3/31/2054,6/30/2054,9/30/2054,12/31/2054,3/31/2055,6/30/2055,9/30/2055,12/31/2055,3/31/2056,6/30/2056,9/30/2056,12/31/2056,3/31/2057,6/30/2057,9/30/2057,12/31/2057,3/31/2058,6/30/2058,9/30/2058,12/31/2058,3/31/2059,6/30/2059,9/30/2059,12/31/2059,3/31/2060,6/30/2060,9/30/2060,12/31/2060,3/31/2061,6/30/2061,9/30/2061,12/31/2061,3/31/2062,6/30/2062,9/30/2062,12/31/2062,3/31/2063,6/30/2063,9/30/2063,12/31/2063,3/31/2064,6/30/2064,9/30/2064,12/31/2064,3/31/2065,6/30/2065,9/30/2065,12/31/2065,3/31/2066,6/30/2066,9/30/2066,12/31/2066,3/31/2067,6/30/2067,9/30/2067,12/31/2067,3/31/2068,6/30/2068,9/30/2068,12/31/2068,3/31/2069,6/30/2069,9/30/2069,12/31/2069,3/31/2070,6/30/2070,9/30/2070,12/31/2070,3/31/2071,6/30/2071,9/30/2071,12/31/2071,3/31/2072,6/30/2072,9/30/2072,12/31/2072,3/31/2073,6/30/2073,9/30/2073,12/31/2073,3/31/2074,6/30/2074,9/30/2074,12/31/2074,3/31/2075,6/30/2075,9/30/2075,12/31/2075,3/31/2076,6/30/2076,9/30/2076,12/31/2076,3/31/2077,6/30/2077,9/30/2077,12/31/2077,3/31/2078,6/30/2078,9/30/2078,12/31/2078,3/31/2079,6/30/2079,9/30/2079,12/31/2079,3/31/2080,6/30/2080,9/30/2080,12/31/2080,3/31/2081,6/30/2081,9/30/2081,12/31/2081,3/31/2082,6/30/2082,9/30/2082,12/31/2082,3/31/2083,6/30/2083,9/30/2083,12/31/2083,3/31/2084,6/30/2084,9/30/2084,12/31/2084
A550D,Historical Data,U80,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A550C,Historical Data,U81,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A681,Historical Data,U106,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A137,Historical Data,U107,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A551T,Historical Data,U108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A551C1,Historical Data,U109,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A551C2,Historical Data,U110,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A607,Historical Data,U111,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A608,Historical Data,U112,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A551D,Historical Data,U113,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A551C,Historical Data,U114,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
